qubit_count,gate_depth,error_rate_pct,is_error_corrected,circuit_exec_ms
83,288,4.7,0,120.52
73,377,0.3,1,490.86
56,166,0.9,0,109.71
25,281,0.6,0,144.09
83,149,3.3,0,164.86
52,72,2.0,1,229.36
97,252,3.9,1,390.08
20,16,0.1,0,48.98
11,388,3.8,0,112.21
34,150,3.8,1,250.04
83,477,1.6,0,262.23
50,187,4.4,0,59.97
13,172,0.3,1,316.46
80,21,2.4,1,242.34
44,71,2.0,0,44.02
58,324,4.5,1,396.51
96,121,4.2,0,53.68
73,464,1.3,0,402.96
65,375,0.6,1,513.7
44,409,1.8,0,247.82
12,461,2.1,1,436.75
38,489,1.9,1,473.05
42,147,2.6,0,138.36
82,279,2.7,1,404.35
10,457,2.8,1,443.39
